cap-shape b'c',cap-shape b'f',cap-shape b'k',cap-shape b's',cap-shape b'x',cap-surface b'g',cap-surface b's',cap-surface b'y',cap-color b'c',cap-color b'e',cap-color b'g',cap-color b'n',cap-color b'p',cap-color b'r',cap-color b'u',cap-color b'w',cap-color b'y',bruises%3F b't',odor b'c',odor b'f',odor b'l',odor b'm',odor b'n',odor b'p',odor b's',odor b'y',gill-attachment b'f',gill-spacing b'w',gill-size b'n',gill-color b'e',gill-color b'g',gill-color b'h',gill-color b'k',gill-color b'n',gill-color b'o',gill-color b'p',gill-color b'r',gill-color b'u',gill-color b'w',gill-color b'y',stalk-shape b't',stalk-root b'b',stalk-root b'c',stalk-root b'e',stalk-root b'r',stalk-surface-above-ring b'k',stalk-surface-above-ring b's',stalk-surface-above-ring b'y',stalk-surface-below-ring b'k',stalk-surface-below-ring b's',stalk-surface-below-ring b'y',stalk-color-above-ring b'c',stalk-color-above-ring b'e',stalk-color-above-ring b'g',stalk-color-above-ring b'n',stalk-color-above-ring b'o',stalk-color-above-ring b'p',stalk-color-above-ring b'w',stalk-color-above-ring b'y',stalk-color-below-ring b'c',stalk-color-below-ring b'e',stalk-color-below-ring b'g',stalk-color-below-ring b'n',stalk-color-below-ring b'o',stalk-color-below-ring b'p',stalk-color-below-ring b'w',stalk-color-below-ring b'y',veil-color b'o',veil-color b'w',veil-color b'y',ring-number b'o',ring-number b't',ring-type b'f',ring-type b'l',ring-type b'n',ring-type b'p',spore-print-color b'h',spore-print-color b'k',spore-print-color b'n',spore-print-color b'o',spore-print-color b'r',spore-print-color b'u',spore-print-color b'w',spore-print-color b'y',population b'c',population b'n',population b's',population b'v',population b'y',habitat b'g',habitat b'l',habitat b'm',habitat b'p',habitat b'u',habitat b'w',class b'p'
0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
